Time(sec)	Acceleration (g)	Speed	Position	Scaled position
7.0800	0.16038	0.0017403	-0.015473	-51.572
7.1000	0.15797	0.0049237	-0.015406	-51.348
7.1200	0.17113	0.0082147	-0.015275	-50.912
7.1400	0.17185	0.011645	-0.015077	-50.252
7.1600	0.14559	0.014819	-0.014812	-49.368
7.1800	0.12915	0.017566	-0.014488	-48.289
7.2000	0.12151	0.020073	-0.014112	-47.035
7.2200	0.087456	0.022163	-0.013689	-45.625
7.2400	0.069183	0.023729	-0.013230	-44.096
7.2600	0.10381	0.025459	-0.012738	-42.456
7.2800	0.14899	0.027987	-0.012204	-40.676
7.3000	0.14046	0.030881	-0.011615	-38.713
7.3200	0.10493	0.033335	-0.010973	-36.573
7.3400	0.089536	0.035280	-0.010287	-34.287
7.3600	0.069389	0.036869	-0.0095655	-31.882
7.3800	0.032259	0.037886	-0.0088180	-29.390
7.4000	0.00017200	0.038210	-0.0080570	-26.854
7.4200	0.015663	0.038368	-0.0072912	-24.302
7.4400	0.060490	0.039130	-0.0065163	-21.719
7.4600	0.078902	0.040524	-0.0057197	-19.064
7.4800	0.050056	0.041813	-0.0048963	-16.319
7.5000	-0.013070	0.042183	-0.0040564	-13.520
7.5200	-0.069963	0.041353	-0.0032210	-10.736
7.5400	-0.10425	0.039611	-0.0024114	-8.0372
7.5600	-0.11476	0.037421	-0.0016411	-5.4698
7.5800	-0.12164	0.035057	-0.00091629	-3.0540
7.6000	-0.14115	0.032429	-0.00024143	-0.80469
7.6200	-0.17601	0.029257	0.00037543	1.2513
7.6400	-0.20515	0.025446	0.00092246	3.0746
7.6600	-0.22218	0.021172	0.0013886	4.6282
7.6800	-0.23692	0.016581	0.0017662	5.8867
7.7000	-0.17071	0.012505	0.0020570	6.8560
7.7200	-0.0043560	0.010754	0.0022896	7.6312
7.7400	0.15503	0.012261	0.0025198	8.3985
7.7600	0.27027	0.016514	0.0028075	9.3574
7.7800	0.33194	0.022536	0.0031980	10.659
7.8000	0.34351	0.029291	0.0037163	12.386
7.8200	0.31690	0.035895	0.0043682	14.559
7.8400	0.19449	0.041009	0.0051372	17.122
7.8600	0.045814	0.043412	0.0059814	19.936
7.8800	-0.084681	0.043023	0.0068457	22.817
7.9000	-0.17781	0.040398	0.0076800	25.597
7.9200	-0.20273	0.036593	0.0084499	28.164
7.9400	-0.21498	0.032416	0.0091400	30.464
7.9600	-0.23336	0.027932	0.0097434	32.475
7.9800	-0.26822	0.022917	0.010252	34.170
8.0000	-0.28653	0.017369	0.010655	35.513
8.0200	-0.27315	0.011772	0.010946	36.483
8.0400	-0.24079	0.0066329	0.011130	37.096
8.0600	-0.23481	0.0018768	0.011215	37.380
8.0800	-0.22333	-0.0027045	0.011207	37.353
8.1000	-0.19299	-0.0068678	0.011111	37.033
8.1200	-0.18585	-0.010656	0.010936	36.450
8.1400	-0.19753	-0.014490	0.010685	35.613
8.1600	-0.19677	-0.018433	0.010355	34.513
8.1800	-0.15404	-0.021941	0.0099517	33.169
8.2000	-0.099540	-0.024477	0.0094875	31.622
8.2200	-0.054560	-0.026018	0.0089825	29.939
8.2400	-0.015946	-0.026723	0.0084551	28.181
8.2600	0.016329	-0.026719	0.0079207	26.400
8.2800	0.040695	-0.026149	0.0073920	24.638
8.3000	0.038479	-0.025357	0.0068770	22.921
8.3200	0.014901	-0.024823	0.0063752	21.249
8.3400	0.026806	-0.024406	0.0058829	19.608
8.3600	0.079449	-0.023344	0.0054054	18.016
8.3800	0.11576	-0.021392	0.0049580	16.525
8.4000	0.12120	-0.019022	0.0045539	15.178
8.4200	0.12585	-0.016551	0.0041982	13.993
8.4400	0.14105	-0.013883	0.0038938	12.978
8.4600	0.15457	-0.010926	0.0036457	12.151
8.4800	0.11346	-0.0082460	0.0034540	11.512
8.5000	0.037190	-0.0067395	0.0033042	11.013
8.5200	-0.011051	-0.0064781	0.0031720	10.572
8.5400	-0.039924	-0.0069878	0.0030373	10.123
8.5600	-0.072274	-0.0081098	0.0028863	9.6200
8.5800	-0.099417	-0.0098267	0.0027070	9.0224
8.6000	-0.10769	-0.011898	0.0024897	8.2982
8.6200	-0.10602	-0.014035	0.0022304	7.4339
8.6400	-0.080936	-0.015904	0.0019310	6.4360
8.6600	-0.033073	-0.017045	0.0016015	5.3378
8.6800	0.039693	-0.016978	0.0012613	4.2039
8.7000	0.11495	-0.015432	0.00093720	3.1237
8.7200	0.15427	-0.012740	0.00065547	2.1847
8.7400	0.16468	-0.0095503	0.00043258	1.4418
8.7600	0.16998	-0.0062036	0.00027503	0.91668
8.7800	0.18032	-0.0027007	0.00018599	0.61990
8.8000	0.18471	0.00094971	0.00016848	0.56154
8.8200	0.17967	0.0045934	0.00022391	0.74629
8.8400	0.15975	0.0079877	0.00034973	1.1657
8.8600	0.12589	0.010844	0.00053804	1.7933
8.8800	0.086090	0.012964	0.00077612	2.5868
8.9000	0.045267	0.014277	0.0010485	3.4947
8.9200	0.0010550	0.014741	0.0013387	4.4619
8.9400	-0.025882	0.014492	0.0016310	5.4361
8.9600	-0.036394	0.013870	0.0019147	6.3817
8.9800	-0.045118	0.013055	0.0021839	7.2789
9.0000	-0.053873	0.012065	0.0024351	8.1162
9.0200	-0.067727	0.010849	0.0026643	8.8801
9.0400	-0.075072	0.0094206	0.0028669	9.5554
9.0600	-0.064512	0.0080247	0.0030414	10.137
9.0800	-0.040752	0.0069721	0.0031914	10.637
9.1000	-0.028487	0.0062797	0.0033239	11.079
9.1200	-0.020080	0.0057940	0.0034446	11.481
